"donor","cps","ptgds","ncell"
"H21.33.001",0.149616331,1.42809242316496,428
"H21.33.011",0.17061852,1.43243294726511,314
"H21.33.037",0.180318628,2.22967347631972,415
"H21.33.038",0.182369814,2.15970579496885,354
"H20.33.035",0.204485489,1.72416478189511,246
"H20.33.002",0.206549371,1.48248710294864,597
"H21.33.047",0.224783433,1.80963545030839,296
"H21.33.015",0.230780762,2.03118133129496,330
"H20.33.012",0.237009997,1.82915979795938,1108
"H21.33.003",0.238033394,2.0490116582524,1127
"H21.33.030",0.252442597,2.08024086314544,401
"H21.33.004",0.261644762,1.63520990314461,631
"H21.33.023",0.296555035,1.85504682279295,756
"H21.33.028",0.300177146,2.13320413535148,1808
"H19.33.004",0.302312776,1.80798353843794,2368
"H21.33.041",0.303751417,1.63860468889986,700
"H20.33.024",0.323638945,1.88514434429536,83
"H21.33.016",0.336173297,1.78397154224956,552
"H20.33.044",0.355631884,1.97059983953128,718
"H20.33.034",0.368330163,2.47836342340913,580
"H20.33.039",0.371467201,1.77367884833887,607
"H21.33.035",0.376970226,1.53823232967437,1214
"H21.33.032",0.380411215,1.66985369072924,277
"H20.33.040",0.438826934,1.82019296100265,1235
"H20.33.043",0.442127888,2.02918602033571,729
"H21.33.012",0.486296563,1.94574533549833,284
"H21.33.019",0.517476286,1.74805776066603,1803
"H21.33.025",0.518004737,1.94357469720806,834
"H21.33.043",0.520346647,1.83659491280063,610
"H20.33.001",0.522888828,2.1351665100147,1160
"H21.33.005",0.575734635,2.57444587802635,1514
"H20.33.025",0.588881872,1.76311662605877,732
"H20.33.029",0.612831699,1.92760546560641,459
"H20.33.016",0.616531087,1.96905212715089,749
"H20.33.027",0.625950796,1.57914104060139,1192
"H21.33.018",0.64394614,1.96830792137805,680
"H20.33.041",0.652943184,2.17181262460422,379
"H20.33.014",0.678277043,1.97515288937277,193
"H21.33.017",0.680216044,1.93224658041935,347
"H21.33.027",0.687187072,2.07506315751041,2085
"H21.33.036",0.690040907,1.6697215484699,191
"H21.33.021",0.704996505,1.74861062460524,544
"H21.33.007",0.723363962,1.31786508995198,620
"H20.33.004",0.725005699,1.70686600190678,948
"H20.33.019",0.728160721,1.82083417900765,1033
"H21.33.039",0.729331972,1.77526476762869,606
"H21.33.022",0.73992399,1.70432140342696,1528
"H21.33.040",0.74451789,1.98364220499556,1365
"H20.33.038",0.748876479,1.10842144433136,1433
"H21.33.026",0.749598881,1.90882974110233,384
"H20.33.008",0.753887834,1.22168714831004,370
"H21.33.014",0.754185193,1.61267304004625,387
"H20.33.005",0.760780881,1.54964029585412,1874
"H21.33.046",0.765703597,2.47300329474486,551
"H20.33.031",0.777858645,1.81104401750299,682
"H20.33.030",0.786515278,2.02501521729939,689
"H20.33.017",0.790026228,1.45691488089676,954
"H21.33.008",0.79034705,1.69583781806918,439
"H20.33.011",0.810864943,1.69028868883956,1108
"H20.33.028",0.814933639,1.29754581723524,1886
"H20.33.032",0.818040808,2.43964473420105,583
"H21.33.010",0.821793345,2.13044162898708,1577
"H21.33.031",0.834626692,2.29953084622337,452
"H21.33.006",0.838095749,1.57282981119658,627
"H20.33.036",0.844305126,2.08484495159698,365
"H21.33.044",0.844797956,1.6493141169548,500
"H20.33.013",0.847210162,1.73621343625219,1064
"H21.33.042",0.850064912,1.94470269152497,722
"H21.33.002",0.856821169,0.883216155899896,711
"H20.33.046",0.868382665,1.6351777265914,1005
"H21.33.034",0.869521183,1.04140458275928,1122
"H20.33.033",0.874937976,1.84508433200494,396
"H20.33.015",0.878967566,1.49022807641912,724
"H21.33.013",0.889562753,1.36375559199598,981
"H20.33.037",0.891215423,0.694668745439775,419
"H20.33.018",0.89607397,1.51399927831659,1980
"H21.33.033",0.899911521,2.22120356627061,797
"H20.33.026",0.906842533,1.91178976969337,424
"H21.33.029",0.910112215,1.74140734525807,459
"H21.33.009",0.911019291,1.15734975621814,105
"H21.33.020",0.911076764,1.71882080619152,1300
"H20.33.045",0.922353884,1.21047822183796,280
"H21.33.045",0.924064541,1.07637937097995,759
"H20.33.020",0.928512537,1.68261565603787,1580
