Gene,Replicate,Control,MCI,MCI_Donepezil_10uM,MCI_BXP101_0.3ugml,MCI_BXP101_0.4ugml,MCI_BXP101_0.6ugml
ptgdsb.1,1,1.01,0.80,1.08,1.11,0.62,0.72
ptgdsb.1,2,0.90,0.92,1.01,0.96,0.80,0.59
ptgdsb.1,3,1.09,0.88,0.83,0.81,0.74,0.63
ptgdsb.1,Average,1.00,0.87,0.97,0.96,0.72,0.65
ptgdsb.2,1,0.97,0.80,0.84,1.00,0.62,0.56
ptgdsb.2,2,0.90,0.85,0.77,0.91,0.70,0.57
ptgdsb.2,3,1.12,0.91,0.72,0.68,0.74,0.49
ptgdsb.2,Average,1.00,0.85,0.78,0.86,0.69,0.54
ngfr,1,0.98,0.71,0.82,1.07,1.03,1.02
ngfr,2,1.10,1.04,0.93,0.97,0.96,1.02
ngfr,3,0.92,1.08,0.96,0.99,1.04,0.91
ngfr,Average,1.00,0.94,0.90,1.01,1.01,0.98
bdnf,1,0.95,1.38,1.44,1.80,1.46,1.90
bdnf,2,1.16,1.32,1.32,2.15,1.51,1.58
bdnf,3,0.90,1.65,1.56,1.69,1.58,1.65
bdnf,Average,1.00,1.45,1.44,1.88,1.52,1.71
gfap,1,1.13,0.52,0.57,0.63,0.46,0.69
gfap,2,0.97,0.58,0.65,0.71,0.67,0.59
gfap,3,0.90,0.48,0.72,0.53,0.78,0.80
gfap,Average,1.00,0.53,0.65,0.62,0.63,0.69
tnf_alpha,1,0.94,1.10,0.94,1.63,1.00,1.13
tnf_alpha,2,1.17,1.36,1.09,1.73,1.20,1.55
tnf_alpha,3,0.89,1.38,1.12,1.44,1.40,1.17
tnf_alpha,Average,1.00,1.28,1.05,1.60,1.20,1.28
il1b,1,0.75,1.72,0.62,2.24,0.92,1.13
il1b,2,1.23,2.60,0.61,2.79,1.00,0.94
il1b,3,1.02,3.07,1.19,2.35,1.01,1.29
il1b,Average,1.00,2.46,0.81,2.46,0.98,1.12
il6,1,1.17,1.19,0.61,1.85,0.87,1.00
il6,2,1.03,1.30,0.83,1.54,1.01,0.92
il6,3,0.80,1.59,0.95,1.49,1.18,0.61
il6,Average,1.00,1.36,0.80,1.63,1.02,0.84
cox2_ptgs2a,1,0.91,0.81,0.97,0.99,0.79,0.94
cox2_ptgs2a,2,1.05,0.93,0.91,1.03,0.90,0.94
cox2_ptgs2a,3,1.04,0.89,0.96,0.81,1.07,0.87
cox2_ptgs2a,Average,1.00,0.87,0.95,0.94,0.92,0.92
creb,1,0.82,1.04,0.99,1.23,0.95,0.98
creb,2,1.26,1.14,0.92,1.10,1.06,1.16
creb,3,0.93,1.05,1.27,0.95,1.21,1.01
creb,Average,1.00,1.08,1.06,1.10,1.07,1.05
dlg4_psd95,1,0.91,0.77,1.07,1.10,1.16,1.24
dlg4_psd95,2,1.10,0.93,0.99,1.07,1.12,1.24
dlg4_psd95,3,0.99,0.91,1.26,0.97,1.53,1.07
dlg4_psd95,Average,1.00,0.87,1.10,1.05,1.27,1.18
nestin,1,0.92,1.03,0.64,0.74,0.75,0.81
nestin,2,1.17,1.36,0.53,0.95,0.93,0.95
nestin,3,0.91,1.06,0.89,0.79,1.05,0.91
nestin,Average,1.00,1.15,0.68,0.83,0.91,0.89
