# qPCR gene expression at 21 dpf — relative expression vs Control (ddCt method)
# Groups: Control / MCI / MCI+BXP101(0.4 ug/ml) only
# MCI induction: same as 14 dpf protocol
# BXP-101: 0.4 ug/ml co-treatment (6-21 dpf, early intervention arm)
# N=4 biological replicates per group
# Note: By 21 dpf, ptgdsb.1/2 in MCI exceeds Control (1.063/1.066),
#       consistent with ongoing compensatory induction (SEA-AD CPS 0.1-0.46 phase)
# Statistics: Two-tailed T-test; * p<0.05 ** p<0.01 vs Control; ## p<0.01 vs MCI
Gene,Replicate,Control,MCI,MCI_BXP101_0.4ugml
ptgdsb.1,1,0.976,0.984,1.164
ptgdsb.1,2,1.061,0.952,1.037
ptgdsb.1,3,0.957,1.171,0.996
ptgdsb.1,4,1.006,1.146,1.121
ptgdsb.1,Average,1.000,1.063,1.080
ptgdsb.2,1,0.967,0.915,1.152
ptgdsb.2,2,1.008,0.934,1.001
ptgdsb.2,3,1.033,1.182,1.140
ptgdsb.2,4,0.991,1.233,1.122
ptgdsb.2,Average,1.000,1.066,1.104
ngfr,1,1.056,0.816,0.979
ngfr,2,1.033,0.862,0.833
ngfr,3,0.990,0.926,0.824
ngfr,4,0.921,0.806,0.904
ngfr,Average,1.000,0.852,0.885
bdnf,1,0.868,1.039,0.822
bdnf,2,0.984,1.056,0.704
bdnf,3,1.054,1.047,0.709
bdnf,4,1.094,0.860,0.714
bdnf,Average,1.000,1.000,0.738
gfap,1,1.090,0.569,0.704
gfap,2,1.024,0.675,0.688
gfap,3,0.851,0.578,0.623
gfap,4,1.034,0.922,0.604
gfap,Average,1.000,0.686,0.655
tnf_alpha,1,0.820,0.884,1.013
tnf_alpha,2,1.108,1.058,1.350
tnf_alpha,3,1.016,1.066,1.169
tnf_alpha,4,1.057,0.905,1.287
tnf_alpha,Average,1.000,0.978,1.205
il1b,1,1.267,0.630,0.964
il1b,2,0.811,0.866,1.049
il1b,3,1.054,0.458,0.681
il1b,4,0.868,0.432,0.529
il1b,Average,1.000,0.597,0.806
il6,1,1.054,0.492,0.418
il6,2,0.830,0.723,0.496
il6,3,1.062,0.721,0.251
il6,4,1.054,0.453,0.326
il6,Average,1.000,0.597,0.373
cox2_ptgs2a,1,1.006,1.053,1.172
cox2_ptgs2a,2,1.004,0.990,1.081
cox2_ptgs2a,3,1.091,1.018,0.968
cox2_ptgs2a,4,0.899,0.906,1.005
cox2_ptgs2a,Average,1.000,0.992,1.057
creb,1,1.240,0.943,1.038
creb,2,0.908,0.933,0.925
creb,3,0.898,0.832,0.799
creb,4,0.955,0.856,0.942
creb,Average,1.000,0.891,0.926
dlg4_psd95,1,1.024,0.787,0.949
dlg4_psd95,2,1.062,0.748,0.744
dlg4_psd95,3,0.956,0.916,0.745
dlg4_psd95,4,0.957,0.660,0.916
dlg4_psd95,Average,1.000,0.778,0.838
nestin,1,0.963,0.876,0.866
nestin,2,0.907,0.807,0.950
nestin,3,1.180,0.919,0.860
nestin,4,0.949,0.719,0.763
nestin,Average,1.000,0.830,0.860
